Customer_ID,Name,Age,Address,TP
C001,Amith Perera,35,"123 Galle Road, Colombo 03",+94771234567
C002,Shalini Fernando,28,"456 Kandy Road, Kandy",+94772345678
C003,Rohan Silva,42,"789 Marine Drive, Colombo 03",+94773456789
C004,Priya Jayawardena,31,"321 Nugegoda Road, Nugegoda",+94774567890
C005,Kamal Wickramasinghe,38,"654 Gampaha Road, Gampaha",+94775678901
C006,Nilmini Rajapaksa,29,"987 Matara Road, Matara",+94776789012
C007,Thilaka Bandara,45,"147 Kurunegala Road, Kurunegala",+94777890123
C008,Ravi Gunasekara,33,"258 Anuradhapura Road, Anuradhapura",+94778901234
C009,Chamila Wijesinghe,27,"369 Ratnapura Road, Ratnapura",+94779012345
C010,Hasitha Mendis,39,"741 Badulla Road, Badulla",+94770123456
